TIME(MS),COMMAND,VALUE
 074750 ,8      ,1
 075150 ,3      ,0
 075150 ,4      ,0
 075150 ,5      ,0
 075150 ,8      ,0
 075650 ,6      ,1
 075900 ,6      ,0
 076050 ,5      ,1
 076050 ,8      ,1
 076250 ,4      ,1
 076250 ,5      ,0
 076250 ,8      ,0
 076500 ,3      ,1
 076500 ,4      ,0
 076500 ,7      ,1
 076700 ,2      ,1
 076700 ,3      ,0
 076700 ,7      ,0
 076900 ,1      ,1
 076900 ,2      ,0
 076950 ,6      ,1
 077150 ,1      ,0
 077150 ,2      ,1
 077150 ,6      ,0
 077300 ,2      ,0
 077300 ,3      ,1
 077400 ,7      ,1
 077500 ,3      ,0
 077500 ,4      ,1
 077600 ,7      ,0
 077700 ,4      ,0
 077700 ,5      ,1
 077800 ,8      ,1
 077950 ,4      ,1
 077950 ,5      ,0
 078000 ,8      ,0
 078150 ,3      ,1
 078150 ,4      ,0
 078200 ,7      ,1
 078350 ,2      ,1
 078350 ,3      ,0
 078400 ,7      ,0
 078550 ,1      ,1
 078550 ,2      ,0
 078600 ,6      ,1
 078800 ,1      ,0
 078800 ,2      ,1
 078800 ,6      ,0
 079000 ,2      ,0
 079000 ,3      ,1
 079050 ,7      ,1
 079200 ,3      ,0
 079200 ,4      ,1
 079250 ,7      ,0
 079400 ,4      ,0
 079400 ,5      ,1
 079400 ,8      ,1
 079600 ,4      ,1
 079600 ,5      ,0
 079600 ,8      ,0
 079800 ,3      ,1
 079800 ,4      ,0
 079850 ,7      ,1
 080000 ,2      ,1
 080000 ,3      ,0
 080050 ,7      ,0
 080200 ,1      ,1
 080200 ,2      ,0
 080300 ,6      ,1
 080450 ,1      ,0
 080450 ,2      ,1
 080500 ,6      ,0
 080650 ,2      ,0
 080650 ,3      ,1
 080750 ,7      ,1
 080900 ,3      ,0
 080900 ,4      ,1
 080950 ,7      ,0
 081100 ,4      ,0
 081100 ,5      ,1
 081100 ,8      ,1
 081300 ,4      ,1
 081300 ,5      ,0
 081300 ,8      ,0
 081500 ,3      ,1
 081500 ,4      ,0
 081550 ,7      ,1
 081700 ,2      ,1
 081700 ,3      ,0
 081750 ,7      ,0
 081900 ,1      ,1
 081900 ,2      ,0
 081950 ,6      ,1
 082050 ,1      ,0
 082150 ,6      ,0
 082750 ,5      ,1
 083050 ,4      ,1
 083300 ,3      ,1
 083300 ,8      ,1
 083700 ,2      ,1
 083700 ,8      ,0
 084100 ,1      ,1
 084100 ,7      ,1
 084500 ,1      ,0
 084500 ,7      ,0
 084950 ,1      ,1
 084950 ,8      ,1
 085300 ,1      ,0
 085300 ,8      ,0
 085450 ,2      ,0
 085550 ,3      ,0
 085700 ,4      ,0
 085800 ,5      ,0
 086200 ,5      ,1
 086450 ,4      ,1
 086650 ,8      ,1
 086700 ,3      ,1
 086900 ,2      ,1
 087000 ,8      ,0
 087500 ,7      ,1
 087550 ,1      ,1
 087850 ,1      ,0
 087900 ,7      ,0
 088300 ,1      ,1
 088300 ,8      ,1
 088500 ,1      ,0
 088550 ,2      ,0
 088600 ,3      ,0
 088650 ,4      ,0
 088700 ,5      ,0
 088700 ,8      ,0
 090000 ,5      ,1
 090400 ,4      ,1
 090850 ,3      ,1
 090850 ,8      ,1
 091050 ,7      ,1
 091050 ,8      ,0
 091250 ,7      ,0
 091250 ,8      ,1
 091450 ,7      ,1
 091450 ,8      ,0
 091650 ,2      ,1
 091650 ,7      ,0
 091900 ,1      ,1
 092200 ,1      ,0
 092500 ,2      ,0
 092500 ,8      ,1
 092650 ,3      ,0
 092700 ,7      ,1
 092700 ,8      ,0
 092750 ,4      ,0
 092850 ,5      ,0
 092900 ,7      ,0
 092900 ,8      ,1
 093100 ,7      ,1
 093100 ,8      ,0
 093300 ,5      ,1
 093300 ,7      ,0
 093550 ,4      ,1
 093950 ,3      ,1
 094250 ,2      ,1
 094550 ,1      ,1
 095100 ,1      ,0
 095100 ,2      ,0
 095100 ,3      ,0
 095100 ,4      ,0
 095100 ,5      ,0
 095100 ,6      ,1
 095300 ,6      ,0
 095900 ,6      ,1
 096150 ,6      ,0
 096750 ,5      ,1
 096900 ,4      ,1
 096900 ,5      ,0
 097100 ,3      ,1
 097100 ,4      ,0
 097300 ,2      ,1
 097300 ,3      ,0
 097500 ,1      ,1
 097500 ,3      ,1
 097500 ,4      ,1
 097500 ,5      ,1
 097500 ,6      ,1
 097500 ,7      ,1
 097600 ,8      ,1
 097650 ,7      ,0
 097750 ,1      ,0
 097750 ,3      ,0
 097750 ,4      ,0
 097750 ,5      ,0
