TIME(MS),COMMAND,VALUE
 039350 ,4      ,0
 039350 ,5      ,0
 039350 ,6      ,0
 039350 ,7      ,0
 039350 ,8      ,0
 039400 ,1      ,1
 039400 ,2      ,1
 039400 ,3      ,1
 039400 ,4      ,1
 039400 ,5      ,1
 039400 ,6      ,1
 039400 ,7      ,1
 039400 ,8      ,1
 039500 ,1      ,0
 039500 ,2      ,0
 039500 ,3      ,0
 039500 ,4      ,0
 039500 ,5      ,0
 039500 ,6      ,0
 039500 ,7      ,0
 039500 ,8      ,0
 039800 ,8      ,1
 040050 ,1      ,1
 040050 ,2      ,1
 040050 ,3      ,1
 040050 ,4      ,1
 040050 ,5      ,1
 040050 ,6      ,1
 040050 ,7      ,1
 040700 ,1      ,0
 040700 ,2      ,0
 040700 ,3      ,0
 040700 ,4      ,0
 040700 ,6      ,0
 040700 ,7      ,0
 040700 ,8      ,0
 041350 ,4      ,1
 041750 ,3      ,1
 041950 ,1      ,1
 041950 ,2      ,1
 043250 ,1      ,0
 043250 ,2      ,0
 043250 ,3      ,0
 043250 ,4      ,0
 043250 ,5      ,0
 043300 ,8      ,1
 043800 ,7      ,1
 043800 ,8      ,0
 044050 ,6      ,1
 044050 ,7      ,0
 044300 ,1      ,1
 044300 ,2      ,1
 044300 ,3      ,1
 044300 ,4      ,1
 044300 ,5      ,1
 044300 ,7      ,1
 044300 ,8      ,1
 044400 ,1      ,0
 044400 ,2      ,0
 044400 ,3      ,0
 044400 ,4      ,0
 044400 ,5      ,0
 044400 ,6      ,0
 044400 ,7      ,0
 044400 ,8      ,0
 044450 ,1      ,1
 044450 ,2      ,1
 044450 ,3      ,1
 044450 ,4      ,1
 044450 ,5      ,1
 044450 ,6      ,1
 044450 ,7      ,1
 044450 ,8      ,1
 044550 ,1      ,0
 044550 ,2      ,0
 044550 ,3      ,0
 044550 ,4      ,0
 044550 ,5      ,0
 044550 ,6      ,0
 044550 ,7      ,0
 044550 ,8      ,0
 044850 ,8      ,1
 045100 ,1      ,1
 045100 ,2      ,1
 045100 ,3      ,1
 045100 ,4      ,1
 045100 ,5      ,1
 045100 ,6      ,1
 045100 ,7      ,1
 045700 ,1      ,0
 045700 ,3      ,0
 045700 ,5      ,0
 045700 ,7      ,0
 046350 ,1      ,1
 046350 ,2      ,0
 046350 ,3      ,1
 046350 ,4      ,0
 046350 ,5      ,1
 046900 ,1      ,0
 046900 ,2      ,1
 046900 ,3      ,0
 046900 ,4      ,1
 046900 ,5      ,0
 047150 ,1      ,1
 047150 ,2      ,0
 047150 ,3      ,1
 047150 ,4      ,0
 047150 ,5      ,1
 047600 ,1      ,0
 047600 ,2      ,1
 047600 ,3      ,0
 047600 ,4      ,1
 047600 ,5      ,0
 048000 ,1      ,1
 048000 ,2      ,0
 048000 ,3      ,1
 048000 ,4      ,0
 048000 ,5      ,1
 048000 ,6      ,0
 048000 ,7      ,1
 048250 ,1      ,0
 048250 ,2      ,1
 048250 ,3      ,0
 048250 ,4      ,1
 048250 ,5      ,0
 048850 ,1      ,1
 048850 ,2      ,0
 048850 ,3      ,1
 048850 ,4      ,0
 048850 ,5      ,1
 049500 ,1      ,0
 049500 ,2      ,1
 049500 ,3      ,0
 049500 ,4      ,1
 049500 ,5      ,0
 050500 ,1      ,1
 050500 ,2      ,0
 050500 ,3      ,1
 050500 ,4      ,0
 050500 ,5      ,1
 050500 ,6      ,1
 050500 ,8      ,0
 050750 ,1      ,0
 050750 ,2      ,1
 050750 ,3      ,0
 050750 ,4      ,1
 050750 ,5      ,0
 051750 ,1      ,1
 051750 ,2      ,0
 051750 ,3      ,1
 051750 ,4      ,0
 051750 ,5      ,1
 052000 ,1      ,0
 052000 ,2      ,1
 052000 ,3      ,0
 052000 ,4      ,1
 052000 ,5      ,0
 053050 ,1      ,1
 053050 ,2      ,0
 053050 ,3      ,1
 053050 ,4      ,0
 053050 ,5      ,1
 053350 ,1      ,0
 053350 ,2      ,1
 053350 ,3      ,0
 053350 ,4      ,1
 053350 ,5      ,0
 053900 ,1      ,1
 053900 ,2      ,0
 053900 ,3      ,1
 053900 ,4      ,0
 053900 ,5      ,1
 054500 ,1      ,0
 054500 ,2      ,1
 054500 ,3      ,0
 054500 ,4      ,1
 054500 ,5      ,0
 055150 ,1      ,1
 055150 ,2      ,0
 055150 ,3      ,1
 055150 ,4      ,0
 055150 ,5      ,1
 055500 ,2      ,1
 055500 ,5      ,0
 055500 ,7      ,0
 055500 ,8      ,1
 055850 ,1      ,0
 055850 ,2      ,0
 055850 ,3      ,0
 055850 ,4      ,1
 055850 ,5      ,1
 056400 ,1      ,1
 056400 ,2      ,1
 056400 ,4      ,0
 056400 ,5      ,0
 057000 ,1      ,0
 057000 ,2      ,0
 057000 ,5      ,1
 057150 ,4      ,1
 057400 ,3      ,1
 057650 ,2      ,1
 057900 ,1      ,1
 058050 ,1      ,0
 058050 ,2      ,0
 058050 ,3      ,0
 058050 ,4      ,0
 058050 ,6      ,0
 058050 ,7      ,1
 058400 ,3      ,1
 058400 ,4      ,1
 059050 ,1      ,1
 059050 ,2      ,1
 059050 ,3      ,0
 059050 ,4      ,0
 059050 ,5      ,0
 059550 ,1      ,0
 059550 ,2      ,0
 059550 ,5      ,1
 059750 ,4      ,1
 059950 ,3      ,1
 060200 ,2      ,1
 060400 ,1      ,1
 060600 ,4      ,0
 060600 ,5      ,0
 060600 ,6      ,1
 061100 ,1      ,0
 061100 ,2      ,0
 061100 ,3      ,0
 061100 ,5      ,1
 061300 ,3      ,1
 061300 ,4      ,1
 061650 ,2      ,1
 061950 ,2      ,0
 061950 ,3      ,0
 061950 ,4      ,0
 061950 ,5      ,0
 061950 ,6      ,0
 061950 ,7      ,0
 061950 ,8      ,0
 062000 ,1      ,1
 062000 ,2      ,1
 062000 ,4      ,1
 062000 ,7      ,1
 062050 ,2      ,0
 062050 ,3      ,1
 062050 ,4      ,0
 062050 ,6      ,1
 062100 ,3      ,0
 062100 ,5      ,1
 062100 ,7      ,0
 062100 ,8      ,1
 062150 ,2      ,1
 062150 ,6      ,0
 062200 ,1      ,0
 062200 ,3      ,1
 062200 ,5      ,0
 062200 ,7      ,1
 062250 ,2      ,0
 062250 ,5      ,1
 062300 ,1      ,1
 062300 ,2      ,1
 062300 ,3      ,0
 062300 ,5      ,0
 062350 ,1      ,0
 062350 ,2      ,0
 062350 ,3      ,1
 062350 ,4      ,1
 062400 ,2      ,1
 062400 ,3      ,0
 062400 ,4      ,0
 062400 ,5      ,1
 062400 ,6      ,1
 062400 ,7      ,0
 062450 ,5      ,0
 062450 ,7      ,1
 062500 ,4      ,1
 062500 ,5      ,1
 062500 ,6      ,0
 062500 ,8      ,0
 062550 ,1      ,1
 062550 ,2      ,0
 062550 ,3      ,1
 062550 ,7      ,0
 062600 ,3      ,0
 062600 ,4      ,0
 062600 ,5      ,0
 062600 ,6      ,1
 062600 ,7      ,1
 062600 ,8      ,1
 062650 ,5      ,1
 062650 ,8      ,0
 062700 ,2      ,1
 062700 ,4      ,1
 062700 ,6      ,0
 062700 ,7      ,0
 062750 ,1      ,0
 062750 ,3      ,1
 062750 ,4      ,0
 062750 ,8      ,1
 062800 ,1      ,1
 062800 ,2      ,0
 062800 ,3      ,0
 062800 ,5      ,0
 062800 ,6      ,1
 062800 ,7      ,1
 062850 ,4      ,1
 062850 ,8      ,0
 062900 ,1      ,0
 062900 ,2      ,1
 062900 ,3      ,1
 062900 ,4      ,0
 062900 ,6      ,0
 062900 ,8      ,1
 062950 ,2      ,0
 062950 ,6      ,1
 063000 ,1      ,1
 063000 ,8      ,0
 063050 ,1      ,0
 063050 ,2      ,1
 063050 ,4      ,1
 063050 ,6      ,0
 063050 ,7      ,0
 063050 ,8      ,1
 063100 ,1      ,1
 063100 ,2      ,0
 063100 ,3      ,0
 063100 ,7      ,1
 063150 ,2      ,1
 063150 ,3      ,1
 063150 ,4      ,0
 063150 ,6      ,1
 063650 ,1      ,0
 063650 ,2      ,0
 063650 ,3      ,0
 063650 ,5      ,1
 063850 ,3      ,1
 063850 ,4      ,1
 064200 ,2      ,1
 064550 ,2      ,0
 064550 ,3      ,0
 064550 ,4      ,0
 064550 ,5      ,0
 064550 ,6      ,0
 064550 ,7      ,0
 064550 ,8      ,0
 064600 ,1      ,1
 064600 ,3      ,1
 064600 ,6      ,1
 064600 ,7      ,1
 064650 ,3      ,0
 064650 ,5      ,1
 064650 ,7      ,0
 064650 ,8      ,1
 064700 ,2      ,1
 064700 ,6      ,0
 064750 ,1      ,0
 064750 ,3      ,1
 064750 ,5      ,0
 064750 ,7      ,1
 064800 ,2      ,0
 064800 ,5      ,1
 064850 ,1      ,1
 064850 ,2      ,1
 064850 ,3      ,0
 064850 ,5      ,0
 064900 ,1      ,0
 064900 ,2      ,0
 064900 ,3      ,1
 064900 ,4      ,1
 064950 ,2      ,1
 064950 ,3      ,0
 064950 ,4      ,0
 064950 ,5      ,1
 064950 ,6      ,1
 064950 ,7      ,0
 065000 ,5      ,0
 065000 ,7      ,1
 065050 ,4      ,1
 065050 ,5      ,1
