TIME(MS),COMMAND,VALUE
 049100 ,3      ,0
 049300 ,2      ,0
 049300 ,4      ,0
 049500 ,1      ,0
 049500 ,5      ,0
 049700 ,6      ,0
 050500 ,3      ,1
 050500 ,6      ,1
 051050 ,3      ,0
 051050 ,6      ,0
 051250 ,2      ,1
 051250 ,3      ,1
 051250 ,4      ,1
 051250 ,6      ,1
 051850 ,2      ,0
 051850 ,3      ,0
 051850 ,4      ,0
 051850 ,6      ,0
 052050 ,1      ,1
 052050 ,2      ,1
 052050 ,3      ,1
 052050 ,4      ,1
 052050 ,5      ,1
 052050 ,6      ,1
 052450 ,3      ,0
 052550 ,2      ,0
 052550 ,4      ,0
 052650 ,1      ,0
 052650 ,5      ,0
 052650 ,6      ,0
 053050 ,3      ,1
 053250 ,2      ,1
 053250 ,3      ,0
 053400 ,1      ,1
 053400 ,2      ,0
 053600 ,2      ,1
 053600 ,3      ,1
 053600 ,4      ,1
 053600 ,5      ,1
 054450 ,1      ,0
 054450 ,2      ,0
 054450 ,3      ,0
 054450 ,4      ,0
 054450 ,5      ,0
 054600 ,5      ,1
 054800 ,4      ,1
 054800 ,5      ,0
 055000 ,3      ,1
 055000 ,4      ,0
 055200 ,1      ,1
 055200 ,2      ,1
 055200 ,4      ,1
 055200 ,5      ,1
 055200 ,6      ,1
 056200 ,1      ,0
 056200 ,2      ,0
 056200 ,3      ,0
 056200 ,4      ,0
 056200 ,5      ,0
 056200 ,6      ,0
 056350 ,1      ,1
 056350 ,5      ,1
 056550 ,1      ,0
 056550 ,5      ,0
 056700 ,1      ,1
 056700 ,5      ,1
 057200 ,1      ,0
 057200 ,5      ,0
 057350 ,2      ,1
 057350 ,4      ,1
 057500 ,2      ,0
 057500 ,4      ,0
 057600 ,1      ,1
 057600 ,5      ,1
 058100 ,1      ,0
 058100 ,5      ,0
 058200 ,3      ,1
 058400 ,1      ,1
 058400 ,3      ,0
 058600 ,1      ,0
 058600 ,2      ,1
 058750 ,2      ,0
 058750 ,4      ,1
 058950 ,4      ,0
 058950 ,6      ,1
 059350 ,5      ,1
 059350 ,6      ,0
 059550 ,4      ,1
 059550 ,5      ,0
 059750 ,3      ,1
 059750 ,4      ,0
 059900 ,3      ,0
 059900 ,5      ,1
 060100 ,3      ,1
 060100 ,5      ,0
 060550 ,3      ,0
 060550 ,5      ,1
 060750 ,2      ,1
 060750 ,4      ,1
 060750 ,5      ,0
 061100 ,1      ,1
 061100 ,2      ,0
 061100 ,3      ,1
 061100 ,4      ,0
 061100 ,5      ,1
 061500 ,3      ,0
 061500 ,5      ,0
 061500 ,6      ,1
 061550 ,1      ,0
 061550 ,2      ,1
 061600 ,2      ,0
 061600 ,3      ,1
 061650 ,3      ,0
 061650 ,4      ,1
 061700 ,4      ,0
 061700 ,5      ,1
 061750 ,1      ,1
 061750 ,5      ,0
 061800 ,1      ,0
 061800 ,2      ,1
 061850 ,2      ,0
 061850 ,3      ,1
 061900 ,3      ,0
 061900 ,4      ,1
 061950 ,4      ,0
 061950 ,5      ,1
 062000 ,1      ,1
 062000 ,5      ,0
 062050 ,1      ,0
 062050 ,2      ,1
 062100 ,2      ,0
 062100 ,3      ,1
 062150 ,3      ,0
 062150 ,4      ,1
 062200 ,4      ,0
 062200 ,5      ,1
 062250 ,5      ,0
 062250 ,6      ,0
 062650 ,1      ,1
 062650 ,2      ,1
 062650 ,3      ,1
 062650 ,4      ,1
 062650 ,5      ,1
 062650 ,6      ,1
 064250 ,1      ,0
 064250 ,2      ,0
 064250 ,3      ,0
 064250 ,4      ,0
 064250 ,5      ,0
 064250 ,6      ,0
 065500 ,1      ,0
 065500 ,2      ,0
 065500 ,3      ,0
 065500 ,4      ,0
 065500 ,5      ,0
 065500 ,6      ,0
 065500 ,7      ,0
 065500 ,END    ,1
